analysis	subset	quantity	estimate	ci2way_low	ci2way_high	cispk_low	cispk_high	n	note
P1	all_tokens(reference)	sensitivity	0.68007	0.62664	0.73965	0.66826	0.69201	210438.00000	tp=33482;fn=15751;tn=144160;fp=17045;speakers=137;word_types=12244
P1	all_tokens(reference)	specificity	0.89427	0.86672	0.91753	0.88678	0.90050	210438.00000	tp=33482;fn=15751;tn=144160;fp=17045;speakers=137;word_types=12244
P1	all_tokens(reference)	balanced_accuracy	0.78717	0.75661	0.81895	0.78017	0.79373	210438.00000	tp=33482;fn=15751;tn=144160;fp=17045;speakers=137;word_types=12244
P1	all_tokens(reference)	mcc	0.56922	0.51464	0.62721	0.55461	0.58245	210438.00000	tp=33482;fn=15751;tn=144160;fp=17045;speakers=137;word_types=12244
P1	all_tokens(reference)	agreement	0.84415	0.80873	0.87216	0.83759	0.85001	210438.00000	tp=33482;fn=15751;tn=144160;fp=17045;speakers=137;word_types=12244
P1	competing	sensitivity	0.79210	0.70437	0.87689	0.78012	0.80428	60354.00000	tp=27954;fn=7337;tn=19948;fp=5115;speakers=137;word_types=2781
P1	competing	specificity	0.79591	0.74419	0.83843	0.78252	0.80818	60354.00000	tp=27954;fn=7337;tn=19948;fp=5115;speakers=137;word_types=2781
P1	competing	balanced_accuracy	0.79401	0.73303	0.84709	0.78486	0.80255	60354.00000	tp=27954;fn=7337;tn=19948;fp=5115;speakers=137;word_types=2781
P1	competing	mcc	0.58219	0.45417	0.69393	0.56424	0.60010	60354.00000	tp=27954;fn=7337;tn=19948;fp=5115;speakers=137;word_types=2781
P1	competing	agreement	0.79368	0.72758	0.85126	0.78468	0.80252	60354.00000	tp=27954;fn=7337;tn=19948;fp=5115;speakers=137;word_types=2781
P1	competing|env=voiceless_both	sensitivity	0.82248	0.68714	0.91507	0.80946	0.83493	29697.00000	tp=21998;fn=4748;tn=2117;fp=834;speakers=137;word_types=2147
P1	competing|env=voiceless_both	specificity	0.71738	0.64105	0.78400	0.68929	0.74383	29697.00000	tp=21998;fn=4748;tn=2117;fp=834;speakers=137;word_types=2147
P1	competing|env=voiceless_both	balanced_accuracy	0.76993	0.69463	0.83252	0.75372	0.78500	29697.00000	tp=21998;fn=4748;tn=2117;fp=834;speakers=137;word_types=2147
P1	competing|env=voiceless_both	mcc	0.38309	0.22743	0.55829	0.35426	0.41264	29697.00000	tp=21998;fn=4748;tn=2117;fp=834;speakers=137;word_types=2147
P1	competing|env=voiceless_both	agreement	0.81203	0.68960	0.89739	0.80004	0.82353	29697.00000	tp=21998;fn=4748;tn=2117;fp=834;speakers=137;word_types=2147
P1	competing|env=other	sensitivity	0.69702	0.56206	0.76076	0.66440	0.73171	30657.00000	tp=5956;fn=2589;tn=17831;fp=4281;speakers=137;word_types=1582
P1	competing|env=other	specificity	0.80639	0.75143	0.85316	0.79217	0.81865	30657.00000	tp=5956;fn=2589;tn=17831;fp=4281;speakers=137;word_types=1582
P1	competing|env=other	balanced_accuracy	0.75171	0.69412	0.77714	0.73448	0.76974	30657.00000	tp=5956;fn=2589;tn=17831;fp=4281;speakers=137;word_types=1582
P1	competing|env=other	mcc	0.47861	0.33648	0.53772	0.44503	0.51163	30657.00000	tp=5956;fn=2589;tn=17831;fp=4281;speakers=137;word_types=1582
P1	competing|env=other	agreement	0.77591	0.74157	0.81229	0.76248	0.78861	30657.00000	tp=5956;fn=2589;tn=17831;fp=4281;speakers=137;word_types=1582
P1	competing|type=symbol	sensitivity	0.75580	0.55818	0.88088	0.69740	0.80709	2005.00000	tp=554;fn=179;tn=623;fp=649;speakers=137;word_types=347
P1	competing|type=symbol	specificity	0.48978	0.31191	0.65678	0.41307	0.56354	2005.00000	tp=554;fn=179;tn=623;fp=649;speakers=137;word_types=347
P1	competing|type=symbol	balanced_accuracy	0.62279	0.51452	0.71801	0.58179	0.66405	2005.00000	tp=554;fn=179;tn=623;fp=649;speakers=137;word_types=347
P1	competing|type=symbol	mcc	0.24142	0.02808	0.43188	0.16307	0.31864	2005.00000	tp=554;fn=179;tn=623;fp=649;speakers=137;word_types=347
P1	competing|type=symbol	agreement	0.58703	0.46281	0.70319	0.53877	0.63493	2005.00000	tp=554;fn=179;tn=623;fp=649;speakers=137;word_types=347
P1	competing|type=presence	sensitivity	0.84214	0.78808	0.88298	0.82912	0.85453	23559.00000	tp=9944;fn=1864;tn=11097;fp=654;speakers=137;word_types=1691
P1	competing|type=presence	specificity	0.94435	0.91812	0.96298	0.93675	0.95127	23559.00000	tp=9944;fn=1864;tn=11097;fp=654;speakers=137;word_types=1691
P1	competing|type=presence	balanced_accuracy	0.89324	0.86510	0.91383	0.88509	0.90067	23559.00000	tp=9944;fn=1864;tn=11097;fp=654;speakers=137;word_types=1691
P1	competing|type=presence	mcc	0.79047	0.73771	0.82912	0.77515	0.80454	23559.00000	tp=9944;fn=1864;tn=11097;fp=654;speakers=137;word_types=1691
P1	competing|type=presence	agreement	0.89312	0.86535	0.91389	0.88522	0.90057	23559.00000	tp=9944;fn=1864;tn=11097;fp=654;speakers=137;word_types=1691
P1	competing|type=mixed	sensitivity	0.76730	0.65161	0.89594	0.75089	0.78486	34790.00000	tp=17456;fn=5294;tn=8228;fp=3812;speakers=137;word_types=967
P1	competing|type=mixed	specificity	0.68339	0.60369	0.75359	0.65911	0.70443	34790.00000	tp=17456;fn=5294;tn=8228;fp=3812;speakers=137;word_types=967
P1	competing|type=mixed	balanced_accuracy	0.72534	0.65376	0.80493	0.71197	0.73768	34790.00000	tp=17456;fn=5294;tn=8228;fp=3812;speakers=137;word_types=967
P1	competing|type=mixed	mcc	0.43984	0.28940	0.61867	0.41364	0.46470	34790.00000	tp=17456;fn=5294;tn=8228;fp=3812;speakers=137;word_types=967
P1	competing|type=mixed	agreement	0.73826	0.65782	0.82968	0.72478	0.75063	34790.00000	tp=17456;fn=5294;tn=8228;fp=3812;speakers=137;word_types=967
P1	competing|type=symbol+mixed	sensitivity	0.76694	0.65317	0.89233	0.75127	0.78353	36795.00000	tp=18010;fn=5473;tn=8851;fp=4461;speakers=137;word_types=1277
P1	competing|type=symbol+mixed	specificity	0.66489	0.58804	0.72928	0.64174	0.68463	36795.00000	tp=18010;fn=5473;tn=8851;fp=4461;speakers=137;word_types=1277
P1	competing|type=symbol+mixed	balanced_accuracy	0.71591	0.64591	0.79014	0.70279	0.72783	36795.00000	tp=18010;fn=5473;tn=8851;fp=4461;speakers=137;word_types=1277
